SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,stress,strain
70Compression,1-Compress,0.000,4.364,-0,0.022,0.28011269984173576,-0.0
70Compression,1-Compress,1.000,4.314,0.05,0.022,0.28011269984173576,0.011457378551787353
70Compression,1-Compress,2.000,4.263,0.101,0.055,0.7002817496043395,0.02314390467461045
70Compression,1-Compress,3.000,4.213,0.151,0.039,0.4965634224467135,0.0346012832263978
70Compression,1-Compress,4.000,4.161,0.203,0.039,0.4965634224467135,0.04651695692025665
70Compression,1-Compress,5.000,4.109,0.255,0.055,0.7002817496043395,0.058432630614115494
70Compression,1-Compress,6.000,4.059,0.305,0.071,0.9040000767619655,0.06989000916590284
70Compression,1-Compress,7.000,4.008,0.356,0.055,0.7002817496043395,0.08157653528872594
70Compression,1-Compress,8.000,3.958,0.406,0.088,1.120450799366943,0.0930339138405133
70Compression,1-Compress,9.000,3.906,0.458,0.088,1.120450799366943,0.10494958753437214
70Compression,1-Compress,10.000,3.855,0.509,0.071,0.9040000767619655,0.11663611365719524
70Compression,1-Compress,11.000,3.805,0.559,0.071,0.9040000767619655,0.1280934922089826
70Compression,1-Compress,12.000,3.753,0.611,0.104,1.324169126524569,0.14000916590284143
70Compression,1-Compress,13.000,3.703,0.661,0.071,0.9040000767619655,0.1514665444546288
70Compression,1-Compress,14.000,3.652,0.712,0.088,1.120450799366943,0.16315307057745188
70Compression,1-Compress,15.000,3.6,0.764,0.121,1.5406198491295469,0.17506874427131072
70Compression,1-Compress,16.000,3.55,0.814,0.121,1.5406198491295469,0.18652612282309808
70Compression,1-Compress,17.000,3.498,0.866,0.104,1.324169126524569,0.19844179651695693
70Compression,1-Compress,18.000,3.448,0.916,0.121,1.5406198491295469,0.20989917506874428
70Compression,1-Compress,19.000,3.397,0.967,0.121,1.5406198491295469,0.22158570119156737
70Compression,1-Compress,20.000,3.345,1.019,0.104,1.324169126524569,0.2335013748854262
70Compression,1-Compress,21.000,3.295,1.069,0.121,1.5406198491295469,0.24495875343721357
70Compression,1-Compress,22.000,3.244,1.12,0.137,1.744338176287173,0.2566452795600367
70Compression,1-Compress,23.000,3.194,1.17,0.121,1.5406198491295469,0.268102658111824
70Compression,1-Compress,24.000,3.142,1.222,0.137,1.744338176287173,0.28001833180568286
70Compression,1-Compress,25.000,3.091,1.273,0.153,1.948056503444799,0.2917048579285059
70Compression,1-Compress,26.000,3.041,1.323,0.170,2.1645072260497766,0.3031622364802933
70Compression,1-Compress,27.000,2.989,1.375,0.137,1.744338176287173,0.31507791017415215
70Compression,1-Compress,28.000,2.939,1.425,0.186,2.3682255532074024,0.3265352887259395
70Compression,1-Compress,29.000,2.888,1.476,0.186,2.3682255532074024,0.3382218148487626
70Compression,1-Compress,30.000,2.836,1.528,0.170,2.1645072260497766,0.35013748854262144
70Compression,1-Compress,31.000,2.786,1.578,0.186,2.3682255532074024,0.3615948670944088
70Compression,1-Compress,32.000,2.734,1.63,0.202,2.571943880365029,0.3735105407882676
70Compression,1-Compress,33.000,2.684,1.68,0.202,2.571943880365029,0.384967919340055
70Compression,1-Compress,34.000,2.633,1.731,0.219,2.7883946029700066,0.39665444546287815
70Compression,1-Compress,35.000,2.581,1.783,0.235,2.992112930127632,0.4085701191567369
70Compression,1-Compress,36.000,2.531,1.833,0.235,2.992112930127632,0.42002749770852427
70Compression,1-Compress,37.000,2.48,1.884,0.235,2.992112930127632,0.4317140238313474
70Compression,1-Compress,38.000,2.43,1.934,0.268,3.412281979890236,0.44317140238313474
70Compression,1-Compress,39.000,2.378,1.986,0.284,3.616000307047862,0.4550870760769936
70Compression,1-Compress,40.000,2.327,2.037,0.268,3.412281979890236,0.4667736021998167
70Compression,1-Compress,41.000,2.277,2.087,0.284,3.616000307047862,0.4782309807516041
70Compression,1-Compress,42.000,2.225,2.139,0.317,4.036169356810466,0.49014665444546285
70Compression,1-Compress,43.000,2.175,2.189,0.317,4.036169356810466,0.5016040329972502
70Compression,1-Compress,44.000,2.123,2.241,0.333,4.2398876839680915,0.5135197066911091
70Compression,1-Compress,45.000,2.072,2.292,0.399,5.0802257834933,0.5252062328139322
70Compression,1-Compress,46.000,2.022,2.342,0.415,5.283944110650925,0.5366636113657196
70Compression,1-Compress,47.000,1.97,2.394,0.432,5.500394833255903,0.5485792850595784
70Compression,1-Compress,48.000,1.92,2.444,0.481,6.1242822101761325,0.5600366636113657
70Compression,1-Compress,49.000,1.869,2.495,0.514,6.544451259938736,0.5717231897341889
70Compression,1-Compress,50.000,1.817,2.547,0.530,6.7481695870963625,0.5836388634280477
70Compression,1-Compress,51.000,1.767,2.597,0.579,7.372056964016592,0.595096241979835
70Compression,1-Compress,52.000,1.716,2.648,0.645,8.2123950635418,0.6067827681026582
70Compression,1-Compress,53.000,1.666,2.698,0.677,8.619831717857052,0.6182401466544455
70Compression,1-Compress,54.000,1.614,2.75,0.743,9.460169817382258,0.6301558203483043
70Compression,1-Compress,55.000,1.563,2.801,0.841,10.707944571222717,0.6418423464711275
70Compression,1-Compress,56.000,1.513,2.851,0.907,11.548282670747925,0.6532997250229148
70Compression,1-Compress,57.000,1.461,2.903,0.972,12.37588837482578,0.6652153987167736
70Compression,1-Compress,58.000,1.411,2.953,1.087,13.840113851271218,0.6766727772685609
70Compression,1-Compress,59.000,1.359,3.005,1.201,15.291606932269305,0.6885884509624198
up 250mm in 30s,1-Compress,60.000,1.311,-0,1.316,16.755832408714742,-0.0
up 250mm in 30s,1-Compress,61.000,9.564,-8.253,0.022,0.28011269984173576,-1.8911549037580202
up 250mm in 30s,1-Compress,62.000,17.919,-16.608,0.039,0.4965634224467135,-3.8056828597616867
up 250mm in 30s,1-Compress,63.000,26.275,-24.964,0.022,0.28011269984173576,-5.720439963336388
up 250mm in 30s,1-Compress,64.000,34.631,-33.32,0.022,0.28011269984173576,-7.635197066911091
up 250mm in 30s,1-Compress,65.000,42.988,-41.677,0.039,0.4965634224467135,-9.55018331805683
up 250mm in 30s,1-Compress,66.000,51.342,-50.031,0.039,0.4965634224467135,-11.46448212648946
up 250mm in 30s,1-Compress,67.000,59.698,-58.387,0.022,0.28011269984173576,-13.379239230064162
up 250mm in 30s,1-Compress,68.000,68.055,-66.744,0.039,0.4965634224467135,-15.2942254812099
up 250mm in 30s,1-Compress,69.000,76.409,-75.098,0.039,0.4965634224467135,-17.20852428964253
up 250mm in 30s,1-Compress,70.000,84.766,-83.455,0.039,0.4965634224467135,-19.123510540788267
up 250mm in 30s,1-Compress,71.000,93.12,-91.809,0.039,0.4965634224467135,-21.037809349220897
up 250mm in 30s,1-Compress,72.000,101.477,-100.166,0.055,0.7002817496043395,-22.952795600366635
up 250mm in 30s,1-Compress,73.000,109.833,-108.522,0.022,0.28011269984173576,-24.86755270394134
up 250mm in 30s,1-Compress,74.000,118.188,-116.877,0.022,0.28011269984173576,-26.782080659945006
up 250mm in 30s,1-Compress,75.000,126.544,-125.233,0.039,0.4965634224467135,-28.69683776351971
up 250mm in 30s,1-Compress,76.000,134.898,-133.587,0.039,0.4965634224467135,-30.611136571952336
up 250mm in 30s,1-Compress,77.000,143.255,-141.944,0.022,0.28011269984173576,-32.52612282309807
up 250mm in 30s,1-Compress,78.000,151.611,-150.3,0.055,0.7002817496043395,-34.44087992667278
up 250mm in 30s,1-Compress,79.000,159.966,-158.655,0.039,0.4965634224467135,-36.355407882676445
up 250mm in 30s,1-Compress,80.000,168.322,-167.011,0.022,0.28011269984173576,-38.270164986251146
up 250mm in 30s,1-Compress,81.000,176.677,-175.366,0.022,0.28011269984173576,-40.18469294225481
up 250mm in 30s,1-Compress,82.000,185.033,-183.722,0.039,0.4965634224467135,-42.09945004582952
up 250mm in 30s,1-Compress,83.000,193.388,-192.077,0.022,0.28011269984173576,-44.01397800183318
up 250mm in 30s,1-Compress,84.000,201.744,-200.433,0.022,0.28011269984173576,-45.92873510540788
up 250mm in 30s,1-Compress,85.000,210.1,-208.789,0.039,0.4965634224467135,-47.84349220898258
up 250mm in 30s,1-Compress,86.000,218.455,-217.144,0.039,0.4965634224467135,-49.758020164986256
up 250mm in 30s,1-Compress,87.000,226.811,-225.5,0.006,0.07639437268410976,-51.67277726856096
up 250mm in 30s,1-Compress,88.000,235.166,-233.855,0.055,0.7002817496043395,-53.587305224564616
up 250mm in 30s,1-Compress,89.000,243.522,-242.211,0.055,0.7002817496043395,-55.502062328139324
up 250mm in 30s,1-Recover,90.000,251.309,-249.998,0.022,0.28011269984173576,-57.286434463794684
