SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,stress,strain
70Compression,1-Preload,0.000,4.119,0.002,0.013,0.00016552114081557113,0.0004855547462976451
70Compression,1-Compress,0.100,3.656,-0,-0.003,-3.819718634205488e-05,-0.0
70Compression,1-Compress,1.100,3.614,0.042,-0.003,-3.819718634205488e-05,0.010196649672250547
70Compression,1-Compress,2.100,3.572,0.084,0.029,0.0003692394679731972,0.020393299344501094
70Compression,1-Compress,3.100,3.53,0.126,0.013,0.00016552114081557113,0.03058994901675164
70Compression,1-Compress,4.100,3.486,0.17,0.013,0.00016552114081557113,0.04127215343529984
70Compression,1-Compress,5.100,3.444,0.212,0.013,0.00016552114081557113,0.05146880310755038
70Compression,1-Compress,6.100,3.402,0.254,0.029,0.0003692394679731972,0.06166545277980093
70Compression,1-Compress,7.100,3.358,0.298,0.013,0.00016552114081557113,0.07234765719834911
70Compression,1-Compress,8.100,3.316,0.34,0.013,0.00016552114081557113,0.08254430687059967
70Compression,1-Compress,9.100,3.273,0.383,0.029,0.0003692394679731972,0.09298373391599904
70Compression,1-Compress,10.100,3.23,0.426,0.013,0.00016552114081557113,0.1034231609613984
70Compression,1-Compress,11.100,3.188,0.468,0.013,0.00016552114081557113,0.11361981063364895
70Compression,1-Compress,12.100,3.145,0.511,0.029,0.0003692394679731972,0.12405923767904832
70Compression,1-Compress,13.100,3.103,0.553,0.029,0.0003692394679731972,0.13425588735129887
70Compression,1-Compress,14.100,3.059,0.597,0.029,0.0003692394679731972,0.14493809176984704
70Compression,1-Compress,15.100,3.017,0.639,0.029,0.0003692394679731972,0.1551347414420976
70Compression,1-Compress,16.100,2.975,0.681,0.029,0.0003692394679731972,0.16533139111434816
70Compression,1-Compress,17.100,2.931,0.725,0.029,0.0003692394679731972,0.17601359553289633
70Compression,1-Compress,18.100,2.889,0.767,0.029,0.0003692394679731972,0.1862102452051469
70Compression,1-Compress,19.100,2.847,0.809,0.046,0.0005856901905781748,0.19640689487739746
70Compression,1-Compress,20.100,2.803,0.853,0.029,0.0003692394679731972,0.20708909929594563
70Compression,1-Compress,21.100,2.761,0.895,0.029,0.0003692394679731972,0.2172857489681962
70Compression,1-Compress,22.100,2.719,0.937,0.062,0.0007894085177358009,0.22748239864044673
70Compression,1-Compress,23.100,2.675,0.981,0.062,0.0007894085177358009,0.23816460305899492
70Compression,1-Compress,24.100,2.633,1.023,0.046,0.0005856901905781748,0.24836125273124543
70Compression,1-Compress,25.100,2.591,1.065,0.062,0.0007894085177358009,0.258557902403496
70Compression,1-Compress,26.100,2.548,1.108,0.079,0.0010058592403407785,0.26899732944889543
70Compression,1-Compress,27.100,2.505,1.151,0.062,0.0007894085177358009,0.2794367564942948
70Compression,1-Compress,28.100,2.463,1.193,0.062,0.0007894085177358009,0.2896334061665453
70Compression,1-Compress,29.100,2.42,1.236,0.095,0.0012095775674984045,0.30007283321194467
70Compression,1-Compress,30.100,2.377,1.279,0.079,0.0010058592403407785,0.310512260257344
70Compression,1-Compress,31.100,2.334,1.322,0.079,0.0010058592403407785,0.3209516873027434
70Compression,1-Compress,32.100,2.292,1.364,0.111,0.0014132958946560306,0.33114833697499396
70Compression,1-Compress,33.100,2.248,1.408,0.128,0.0016297466172610082,0.34183054139354213
70Compression,1-Compress,34.100,2.206,1.45,0.111,0.0014132958946560306,0.35202719106579267
70Compression,1-Compress,35.100,2.164,1.492,0.128,0.0016297466172610082,0.36222384073804326
70Compression,1-Compress,36.100,2.122,1.534,0.144,0.0018334649444186342,0.3724204904102938
70Compression,1-Compress,37.100,2.078,1.578,0.128,0.0016297466172610082,0.383102694828842
70Compression,1-Compress,38.100,2.036,1.62,0.144,0.0018334649444186342,0.39329934450109255
70Compression,1-Compress,39.100,1.994,1.662,0.177,0.002253633994181238,0.40349599417334303
70Compression,1-Compress,40.100,1.95,1.706,0.160,0.0020371832715762603,0.41417819859189126
70Compression,1-Compress,41.100,1.908,1.748,0.177,0.002253633994181238,0.4243748482641418
70Compression,1-Compress,42.100,1.866,1.79,0.210,0.0026738030439438414,0.4345714979363924
70Compression,1-Compress,43.100,1.822,1.834,0.226,0.0028775213711014678,0.44525370235494055
70Compression,1-Compress,44.100,1.78,1.876,0.226,0.0028775213711014678,0.4554503520271911
70Compression,1-Compress,45.100,1.738,1.918,0.259,0.0032976904208640713,0.4656470016994416
70Compression,1-Compress,46.100,1.695,1.961,0.275,0.0035014087480216977,0.47608642874484103
70Compression,1-Compress,47.100,1.652,2.004,0.275,0.0035014087480216977,0.4865258557902404
70Compression,1-Compress,48.100,1.609,2.047,0.308,0.003921577797784301,0.4969652828356398
70Compression,1-Compress,49.100,1.567,2.089,0.341,0.004341746847546905,0.5071619325078903
70Compression,1-Compress,50.100,1.523,2.133,0.357,0.004545465174704531,0.5178441369264385
70Compression,1-Compress,51.100,1.481,2.175,0.373,0.004749183501862157,0.528040786598689
70Compression,1-Compress,52.100,1.439,2.217,0.423,0.005385803274229738,0.5382374362709396
70Compression,1-Compress,53.100,1.395,2.261,0.472,0.006009690651149967,0.5489196406894878
70Compression,1-Compress,54.100,1.353,2.303,0.488,0.006213408978307594,0.5591162903617383
70Compression,1-Compress,55.100,1.311,2.345,0.537,0.006837296355227824,0.5693129400339889
70Compression,1-Compress,56.100,1.269,2.387,0.586,0.007461183732148053,0.5795095897062394
70Compression,1-Compress,57.100,1.225,2.431,0.635,0.008085071109068283,0.5901917941247876
70Compression,1-Compress,58.100,1.183,2.473,0.701,0.00892540920859349,0.6003884437970382
